City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,issenye,-2.0,34.3333,90.01,28,48,6.06,TZ,1700472801
198,chibougamau,49.9168,-74.3659,13.62,85,100,12.66,CA,1700472493
199,south mackay,-21.1621,149.1881,79.72,76,91,10.04,AU,1700472801
200,saint-philippe,-21.3585,55.7679,84.11,72,1,11.81,RE,1700472514
201,interlaken,36.9513,-121.7338,55.94,73,0,0.0,US,1700472801
202,maputo,-25.9653,32.5892,92.88,49,20,9.22,MZ,1700472802
203,las heras,-46.5419,-68.9359,45.19,44,0,31.68,AR,1700472693
204,atafu village,-8.5421,-172.5159,84.67,74,80,12.12,TK,1700472464
205,nar'yan-mar,67.6713,53.087,-4.22,100,97,4.99,RU,1700472502
206,petrovsk,52.3064,45.3917,27.81,96,100,18.92,RU,1700472802
207,punta arenas,-53.15,-70.9167,35.71,93,100,8.05,CL,1700472444
208,homer,59.6425,-151.5483,22.87,58,0,5.75,US,1700472803
209,pacific grove,36.6177,-121.9166,55.78,69,0,8.05,US,1700472803
210,murrells inlet,33.551,-79.0414,50.05,66,0,3.44,US,1700472803
211,namibe,-15.1961,12.1522,81.75,64,100,1.54,AO,1700472488
212,al jawf,29.5,38.75,64.09,36,0,17.96,SA,1700472804
213,dudinka,69.4058,86.1778,-21.39,98,97,2.89,RU,1700472468
214,salahonda,2.1019,-78.7217,78.33,83,100,4.85,CO,1700472805
215,hermanus,-34.4187,19.2345,68.5,63,100,7.4,ZA,1700472454
216,lata,40.1629,-8.3327,56.07,82,20,2.01,PT,1700472448
217,santanyi,39.3546,3.1291,68.81,66,3,3.13,ES,1700472806
218,gyula,46.65,21.2833,50.97,71,80,8.75,HU,1700472806
219,leava,-14.3,-178.1667,83.48,75,12,15.68,WF,1700472806
220,manggar,-2.8833,108.2667,84.94,68,86,8.63,ID,1700472806
221,manismata,-2.4667,111.0333,80.64,84,95,3.02,ID,1700472806
222,bubaque,11.2833,-15.8333,82.33,74,100,12.41,GW,1700472484
223,verkhnevilyuysk,63.4453,120.3167,3.61,93,100,7.16,RU,1700472807
224,quiindy,-25.9667,-57.2667,68.61,78,100,6.38,PY,1700472807
225,rio grande,-32.035,-52.0986,60.94,72,0,6.4,BR,1700472618
226,sinabang,2.4803,96.3801,82.63,76,91,5.88,ID,1700472529
227,portland,45.5234,-122.6762,42.73,93,100,1.99,US,1700472350
228,fort bragg,35.139,-79.006,40.82,82,0,3.44,US,1700472510
229,olonkinbyen,70.9221,-8.7187,34.21,97,100,9.35,SJ,1700472434
230,nemuro,43.3236,145.575,42.31,70,37,26.44,JP,1700472544
231,lenoir city,35.7973,-84.256,49.39,83,88,4.65,US,1700472572
232,kone,-21.0595,164.8658,72.97,76,47,5.32,NC,1700472494
233,naze,28.3667,129.4833,63.52,64,0,11.56,JP,1700472810
234,kudahuvadhoo,2.6708,72.8944,83.19,75,59,7.78,MV,1700472810
235,hasaki,35.7333,140.8333,55.29,48,0,21.23,JP,1700472440
236,jiuquan,39.7432,98.5174,44.02,16,46,5.1,CN,1700472810
237,twon-brass,4.3151,6.2418,81.68,75,100,4.65,NG,1700472811
238,san patricio,28.017,-97.5169,74.82,93,3,12.86,US,1700472553
239,sisimiut,66.9395,-53.6735,22.48,78,100,5.66,GL,1700472477
240,madang,-5.2246,145.7966,79.32,87,13,2.48,PG,1700472811
241,aromashevo,56.8602,68.6375,20.48,81,43,4.54,RU,1700472811
242,coari,-4.085,-63.1414,74.77,93,98,3.22,BR,1700472812
243,carnarvon,-24.8667,113.6333,79.14,64,0,13.51,AU,1700472436
244,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,98,0,20.13,RU,1700472433
245,qulsary,46.9531,54.0198,51.19,53,100,32.55,KZ,1700472813
246,manaure,11.7751,-72.4445,79.47,84,77,8.28,CO,1700472813
247,menongue,-14.6585,17.691,95.65,21,58,5.32,AO,1700472813
248,lucapa,-8.4192,20.7447,73.11,85,100,0.45,AO,1700472814
249,vallenar,-28.5708,-70.7581,59.83,70,1,1.83,CL,1700472814
250,laojunmiao,39.8333,97.7333,42.8,19,79,2.3,CN,1700472470
251,bandon,51.7469,-8.7425,51.39,84,97,20.78,IE,1700472815
252,gadzhiyevo,69.2551,33.3362,7.61,96,85,7.83,RU,1700472459
253,bumba,2.1833,22.4667,80.6,78,99,3.02,CD,1700472816
254,westport,41.1415,-73.3579,39.33,67,0,1.99,US,1700472816
255,socorro,31.6546,-106.3033,56.48,42,20,24.16,US,1700472588
256,kingston,17.997,-76.7936,69.21,92,61,3.53,JM,1700472262
257,huntertown,41.2284,-85.1725,38.3,84,0,9.22,US,1700472816
258,antsiranana,-12.2787,49.2917,92.16,40,40,13.8,MG,1700472817
259,alice springs,-23.7,133.8833,87.35,23,0,8.05,AU,1700472485
260,guanare,9.0418,-69.7421,73.24,84,98,3.67,VE,1700472817
261,bela,25.9333,81.9833,85.05,33,0,6.02,IN,1700472818
262,mboursou lere,9.7639,14.1539,93.24,13,91,9.82,TD,1700472818
263,el nido,11.1858,119.3956,81.95,79,86,7.54,PH,1700472818
264,solsona,41.994,1.5171,59.0,48,65,2.71,ES,1700472818
265,tazacorte,28.629,-17.9293,78.15,27,0,4.0,ES,1700472521
266,trairi,-3.2778,-39.2689,80.64,71,97,7.9,BR,1700472267
267,t'aebaek,37.1759,128.9889,33.66,65,0,5.17,KR,1700472819
268,kerrville,30.0474,-99.1403,66.54,97,100,6.91,US,1700472819
269,igarka,67.4667,86.5833,-29.45,100,100,2.91,RU,1700472819
270,mirpur sakro,24.5474,67.6277,88.68,16,0,14.63,PK,1700472819
271,hilo,19.7297,-155.09,77.29,77,0,5.75,US,1700472820
272,salalah,17.0151,54.0924,86.09,51,20,8.05,OM,1700472820
273,padang,-0.9492,100.3543,80.98,90,100,7.67,ID,1700472480
274,posto fiscal rolim de moura,-13.0833,-62.2667,73.76,88,80,3.2,BR,1700472821
275,bosansko grahovo,44.1794,16.3639,44.11,96,100,2.24,BA,1700472821
276,dalhart,36.0595,-102.5133,45.39,68,92,11.59,US,1700472821
277,sarina,-21.4333,149.2167,79.27,1,98,8.08,AU,1700472821
278,ciudad acuna,29.3232,-100.9522,66.49,91,100,0.0,MX,1700472694
279,katabu,-4.9333,122.5167,81.77,66,51,6.55,ID,1700472822
280,reggane,26.7158,0.1714,77.29,17,0,4.45,DZ,1700472822
281,isna,25.2934,32.554,71.62,34,0,14.58,EG,1700472822
282,carutapera,-1.195,-46.02,79.03,85,46,6.51,BR,1700472475
283,pandan,14.0453,124.1694,79.2,87,100,16.26,PH,1700472823
284,larne,54.85,-5.8167,51.76,98,66,22.59,GB,1700472823
285,san andres,12.5847,-81.7006,82.42,78,20,8.05,CO,1700472472
286,lagos,6.5833,3.75,86.32,62,82,1.54,NG,1700472585
287,new plymouth,-39.0667,174.0833,57.81,84,85,10.45,NZ,1700472823
288,eastham,41.8301,-69.9739,41.95,56,0,14.0,US,1700472824
289,prainha,-1.8,-53.48,77.18,81,72,3.91,BR,1700472824
290,ghadamis,30.1337,9.5007,69.71,38,0,5.91,LY,1700472824
291,ahtari,62.554,24.0619,24.55,81,100,1.01,FI,1700472824
292,lianshan,40.7643,120.8533,49.73,72,1,19.01,CN,1700472825
293,brandon,27.9378,-82.2859,66.07,94,0,3.44,US,1700472575
294,constantia,44.1833,28.65,39.88,64,55,8.46,RO,1700472431
295,gamboula,4.1178,15.1393,84.74,58,45,2.21,CF,1700472825
296,howard springs,-12.497,131.047,88.83,53,95,6.51,AU,1700472825
297,uribia,11.7139,-72.266,78.17,86,76,7.05,CO,1700472791
298,malango,-2.9627,119.9001,70.75,96,58,0.96,ID,1700472826
299,caazapa,-26.15,-56.4,69.26,86,100,5.21,PY,1700472826
300,bellaria-igea marina,44.1421,12.47,60.17,66,40,4.61,IT,1700472826
301,mogocha,53.7333,119.7667,21.0,93,100,4.23,RU,1700472827
302,worthington,40.0931,-83.018,39.25,80,0,9.22,US,1700472827
303,quepos,9.4236,-84.1652,75.9,90,98,2.77,CR,1700472827
304,monopoli,40.9559,17.2896,64.72,45,6,2.21,IT,1700472827
305,watseka,40.7762,-87.7364,43.34,69,100,5.99,US,1700472828
306,abashiri,44.0213,144.2697,41.29,70,75,9.22,JP,1700472828
307,anadyr,64.75,177.4833,32.5,100,100,31.32,RU,1700472489
308,modakeke,7.3833,4.2667,88.38,55,96,0.78,NG,1700472828
309,kailua-kona,19.6406,-155.9956,78.76,81,75,3.44,US,1700472627
310,lushun,38.8,121.2667,53.82,62,2,12.88,CN,1700472829
311,ormara,25.2088,64.6357,79.09,54,0,8.16,PK,1700472829
312,midoun,33.8081,10.9923,69.66,52,0,7.81,TN,1700472829
313,flin flon,54.7682,-101.865,32.81,91,20,8.25,CA,1700472555
314,kiunga,-6.1219,141.2906,78.13,92,59,1.12,PG,1700472830
315,zhezqazghan,47.7833,67.7667,37.98,60,0,17.9,KZ,1700472445
316,ola,59.5833,151.2833,5.81,73,72,12.1,RU,1700472435
317,las veredas,23.1388,-109.7075,76.1,82,0,3.13,MX,1700472830
318,ambon,-3.6954,128.1814,86.14,74,40,4.61,ID,1700472831
319,kot sultan,30.7737,70.9313,82.09,15,0,4.54,PK,1700472831
320,ponta delgada,37.7333,-25.6667,57.92,82,20,5.75,PT,1700472831
321,tual,-5.6667,132.75,83.26,79,25,14.56,ID,1700472544
322,tura,25.5198,90.2201,78.01,61,68,2.53,IN,1700472487
323,yoichi,43.2039,140.7703,40.12,74,100,16.6,JP,1700472832
324,coquimbo,-29.9533,-71.3436,56.93,88,100,3.44,CL,1700472269
325,pointe-noire,-4.7761,11.8635,84.27,79,75,2.3,CG,1700472558
326,san fernando de apure,7.8878,-67.4724,75.83,74,98,6.26,VE,1700472832
327,stanley,54.868,-1.6985,48.52,96,75,8.05,GB,1700472431
328,shimanovsk,52.0,127.7,22.78,93,84,4.9,RU,1700472833
329,kyren,51.6828,102.1408,27.95,79,41,1.99,RU,1700472833
330,angra do heroismo,38.65,-27.2167,61.41,92,40,5.01,PT,1700472833
331,fada,9.5667,8.3,81.41,21,100,5.14,NG,1700472523
332,zheleznodorozhnyy,55.7503,38.0042,21.72,66,98,7.0,RU,1700472834
333,kamaishi,39.2667,141.8833,43.43,72,8,17.69,JP,1700472678
334,bodo,67.28,14.405,23.04,82,20,16.11,NO,1700472557
335,camacupa,-12.0167,17.4833,88.57,33,75,2.86,AO,1700472834
336,chabahar,25.2919,60.643,79.79,57,0,9.35,IR,1700472834
337,selfoss,63.9331,-20.9971,31.05,81,99,4.72,IS,1700472429
338,saint-pierre,-21.3393,55.4781,85.19,69,40,19.57,RE,1700472835
339,lubang,13.8584,120.124,84.34,73,60,18.81,PH,1700472835
340,st. john's,47.5649,-52.7093,33.15,87,20,12.66,CA,1700472405
341,isahaya,32.8411,130.0431,56.53,62,0,10.36,JP,1700472835
342,bridgewater,44.3835,-64.5155,37.08,95,29,12.66,CA,1700472333
343,hadibu,12.65,54.0333,82.92,69,7,9.57,YE,1700472436
344,qui nhon,13.7667,109.2333,76.23,84,100,16.26,VN,1700472540
345,richards bay,-28.783,32.0377,81.61,62,31,7.18,ZA,1700472476
346,afaahiti,-17.75,-149.2833,76.87,90,100,21.27,PF,1700472503
347,buffalo,42.8865,-78.8784,30.02,77,0,6.91,US,1700472741
348,kununurra,-15.7667,128.7333,94.98,46,93,11.5,AU,1700472262
349,hiratacho,35.4333,132.8167,53.62,76,75,3.44,JP,1700472837
350,mil'kovo,55.6078,37.7956,23.41,67,92,8.21,RU,1700472837
351,dizangue,3.7667,9.9833,78.15,73,78,2.68,CM,1700472837
352,ketchikan,55.3422,-131.6461,39.67,87,100,9.22,US,1700472462
353,lethem,3.3803,-59.7968,76.41,85,84,11.3,GY,1700472838
354,isla mujeres,21.2311,-86.731,68.05,74,3,8.43,MX,1700472838
355,tazovsky,67.4667,78.7,-15.5,97,95,7.14,RU,1700472448
356,woolgoolga,-30.1106,153.2007,67.87,89,100,11.5,AU,1700472839
357,sitka,57.0531,-135.33,39.09,56,100,17.27,US,1700472479
358,parlakimidi,18.7667,84.0833,81.18,62,100,5.99,IN,1700472839
359,axim,4.8699,-2.2405,85.01,69,65,4.41,GH,1700472840
360,bamako,12.65,-8.0,84.61,26,95,10.36,ML,1700472840
361,goure,13.9835,10.2704,85.44,15,94,17.31,NE,1700472840
362,nova sintra,14.8667,-24.7167,72.61,70,98,11.43,CV,1700472497
363,kidal,18.4411,1.4078,78.44,16,41,13.67,ML,1700472493
